"ID","Title","Organisation ID","Organisation Name","Organisation Profile","Posted By - Name","Posted By - Profile","Short description","Location","Remote work allowed","Benefits","Workplace type","Description","Seniority level","Under 10 applications","Job functions","Date posted","Date expires","Industry","Source domain","Easy apply","Job type","Industry","Link"
"4243861375","Infrastructure Engineer","b3JnOjMwMjI5Nzk=","Acora - IT, Cyber & AI","https://www.linkedin.com/company/acora-it-cyber-security-ai/life","","","-","City of Cape Town, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4243861375"
"4229490267","Senior Systems Engineer","b3JnOjYyMTc=","Automattic","https://www.linkedin.com/company/automattic/life","","","-","EMEA (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4229490267"
"4204757751","Quality Assurance Engineer (DATA)","b3JnOjg5OTAwOQ==","White Hat Gaming","https://www.linkedin.com/company/white-hat-gaming/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4204757751"
"4243024712","Data Engineer","b3JnOjEzMTk1MQ==","takealot.com","https://www.linkedin.com/company/takealot/life","","","-","Cape Town, Western Cape, South Africa","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4243024712"
"4214704619","Junior DevOps Engineer (JHB)","b3JnOjk2Njc0MjM2","BETSoftware","https://www.linkedin.com/company/betsoftware/life","","","-","Johannesburg Metropolitan Area","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4214704619"
"4241155085","Site Reliability Engineer","b3JnOjEzMjcwMA==","Momentum","https://www.linkedin.com/company/momentum_2/life","","","-","Centurion, Gauteng, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4241155085"
"4216754044","Cloud Engineer II","b3JnOjE2Njk4ODEyOA==","Capitec Client Care","https://www.linkedin.com/company/capitechelpcenter/life","","","-","Stellenbosch, Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4216754044"
"4231833740","Business Intelligence Engineer","b3JnOjUwNDM5NA==","Allan Gray","https://www.linkedin.com/company/allan-gray/life","","","-","City of Johannesburg, Gauteng, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4231833740"
"4240642290","DevOps Engineer","b3JnOjYwMzkzMTA=","Equal Experts South Africa","https://www.linkedin.com/company/equal-experts-south-africa/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4240642290"
"4231926570","Cloud Infrastructure Engineer","b3JnOjE5NDA1NDI0","cargo.one","https://www.linkedin.com/company/cargoone/life","","","-","EMEA (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4231926570"
